Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
2527;expert;OmerS;2018;0;3;2;3352
2528;expert;noter;2021;0;2;0;3351
2529;expert;Maxenso;2016;0;1;1;3350
2530;expert;Tatsuya;2018;0;2;0;3349
2531;expert;ikousuke;2019;0;4;0;3346
2532;master;Evgeny Nekrasov;2015;3;5;1;3345
2533;expert;MoGymme;2018;0;4;3;3344
2534;expert;JOJO;2019;0;2;0;3342
2535;expert;howard.G;2021;0;2;0;3338
2536;master;ubik;2016;1;5;1;3331
2537;expert;KJ;2016;0;0;2;3331
2538;expert;Wei Zhu;2021;0;0;2;3331
2539;grandmaster;Mario Filho;2013;7;11;6;3329
2540;expert;Ivan Meleshko;2018;0;5;3;3329
2541;expert;Paulo S. Santos;2019;0;0;2;3329
2542;expert;nonaryr;2015;0;2;6;3328
2543;master;Konstantin Maksimov;2015;1;4;6;3325
2544;expert;Jiazhen Xi;2016;0;5;5;3323
2545;expert;Gábor Hollandi;2018;0;0;2;3323
2546;expert;Dmitry Terenin;2017;0;0;2;3322
2547;expert;wychwood;2019;0;2;2;3321
2548;expert;Xcodedd;2019;0;2;0;3319
2549;expert;Nicu;2018;0;0;2;3314
2550;expert;kalindaguo;2018;0;2;0;3310
2551;master;uuulearn;2018;3;5;0;3309
2552;expert;Robert;2016;0;2;1;3306
2553;master;Abhilash Awasthi;2015;1;5;11;3305
2554;expert;Ahmed Sabry;2020;0;1;1;3305
2555;expert;ThomasAnthony;2016;2;0;0;3303
2556;master;YaG320;2017;1;3;0;3300
2557;expert;formemorte;2018;0;3;1;3300
2558;expert;Behrang;2015;0;2;2;3299
2559;master;Yinpeng Dong;2017;3;0;1;3298
2560;expert;kenkra;2018;0;1;3;3296
2561;expert;Zhassulan Shaikhygali [dsmlkz];2018;0;1;2;3295
2562;expert;Jack Vial;2017;0;2;0;3291
2563;expert;Godfrey;2020;0;2;1;3290
2564;expert;tachyon777;2020;0;1;2;3289
2565;expert;MountainClimber;2015;0;1;1;3288
2566;expert;Pratik;2018;0;1;1;3288
2567;expert;Bon Intelli;2019;0;2;1;3288
2568;grandmaster;nagadomi;2014;8;5;0;3284
2569;expert;TI_110106;2020;0;3;0;3284
2570;expert;NaN;2019;0;3;0;3282
2571;expert;Detective Hiro;2021;0;2;0;3278
